hand,round,action,player,amount,llm1_chips,llm2_chips,llm3_chips,pot,llm1_cards,llm2_cards,llm3_cards,community_1,community_2,community_3,community_4,community_5,timestamp,llm_action,reasoning,winner,hand_result,full_context
1,start,HAND_START,,0,1500,1500,1500,0,"""xx, xx""","""xx, xx""","""xx, xx""",,,,,,16:01:28,,,,,
1,start,SMALL_BLIND,Claude,5,1500,1495,1500,5,"""xx, xx""","""xx, xx""","""xx, xx""",,,,,,16:01:28,,,,,
1,start,BIG_BLIND,Grok,10,1500,1495,1490,15,"""xx, xx""","""xx, xx""","""xx, xx""",,,,,,16:01:28,,,,,
1,start,DEAL_HOLE_CARDS,,0,1500,1495,1490,15,"""2S, 7S""","""QH, 5D""","""5S, TS""",,,,,,16:01:28,,,,,
1,pre-flop,FOLD,GPT-4o,0,1500,1495,1490,15,"""2S, 7S""","""QH, 5D""","""5S, TS""",,,,,,16:01:31,,"7-2 suited is one of the weakest starting hands in Texas Hold'em. It's early in the tournament, and there's no need to risk chips on a low-equity hand.",,,"POKER DECISION REQUIRED TOURNAMENT CONTEXT: 🟢 EARLY PHASE (Hands 1-10): Blinds $5/$10 🟢 LOW PRESSURE Hand: 1/50 YOUR SITUATION: - Hand: 2S, 7S - Your chips: $1500 - Your current bet this round: $0 GAME STATE: - Betting round: pre-flop - Community cards: None dealt yet - Current pot: $15 - Current bet to call: $10 - Minimum raise: $20 ALL PLAYERS: - Claude: $1495 total (bet: $5 this round) - Grok: $1490 total (bet: $10 this round) FULL HAND HISTORY: PRE-FLOP: Claude SMALL_BLIND $5, Grok BIG_BLIND"
1,pre-flop,FOLD,Claude,0,1500,1495,1490,15,"""2S, 7S""","""QH, 5D""","""5S, TS""",,,,,,16:01:34,,Q5 offsuit is a weak starting hand with poor potential. Not worth investing more chips from early position in the first hand of the tournament when we have plenty of better opportunities ahead.,,,"POKER DECISION REQUIRED TOURNAMENT CONTEXT: 🟢 EARLY PHASE (Hands 1-10): Blinds $5/$10 🟢 LOW PRESSURE Hand: 1/50 YOUR SITUATION: - Hand: QH, 5D - Your chips: $1495 - Your current bet this round: $5 GAME STATE: - Betting round: pre-flop - Community cards: None dealt yet - Current pot: $15 - Current bet to call: $5 - Minimum raise: $20 ALL PLAYERS: - GPT-4o: $1500 total (bet: $0 this round) (FOLDED) - Grok: $1490 total (bet: $10 this round) FULL HAND HISTORY: PRE-FLOP: Claude SMALL_BLIND $5, Grok B"
1,pre-flop,HAND_END,,0,1500,1495,1505,0,"""2S, 7S""","""QH, 5D""","""5S, TS""",,,,,,16:01:34,,,Grok,GPT-4o: FOLDED | Claude: FOLDED | Grok: High Card,
2,start,HAND_START,,0,1500,1495,1505,0,"""xx, xx""","""xx, xx""","""xx, xx""",,,,,,16:01:34,,,,,
2,start,SMALL_BLIND,Grok,5,1500,1495,1500,5,"""xx, xx""","""xx, xx""","""xx, xx""",,,,,,16:01:34,,,,,
2,start,BIG_BLIND,GPT-4o,10,1490,1495,1500,15,"""xx, xx""","""xx, xx""","""xx, xx""",,,,,,16:01:34,,,,,
